Article Link ID,Articles,Name of tournament,Wikipedia link of the Tournament,Header  image ,Short summary of the article,Dates,Format,Champion,Champion Link,Runners Up,Runners Up Link,No of Teams,Host 1,Host 1 Card,Host 2,Host 2 Card,Host 3,Host 3 Card,Tournament year 1,Tournament Year 1 Card,Hosts year 1,Winners Year 1,Winner 1 Card,Runners year 1,Tournament year 2,Tournament Year 2 Card,Hosts year 2,Winners Year 2,Winner Card 2,Runners year 2,Tournament year 3,Tournament Year 3 Card,Hosts year 3,Winners Year 3,Winner Card 3,Runners year 3,Tournament year 4,Tournament Year 4 Card,Hosts year 4,Winners year 4,Winner Card 4,Runners year 4,Tournament year 5,Tournament Year 5 Card,Hosts year 5,Winners year 5,Winner Card 5,Runners year 5,Tournament year 6,Tournament Year 6 Card,Hosts year 6,Winners 6,Winner Card 6,Runners year 6,Tournament year 7,Tournament year 7 Card,Hosts year 7,Winners year 7,Winner Card 7,Runners year 7,Tournament year 8,Tournament year 8 Card,Hosts year 8,Winners year 8,Winner Card 8,Runners year 8,Tournament year 9,Tournament Year 9 Card,Hosts year 9,Winners year 9,Winner Card 9,Runners year 9,Tournament year 10,Tournament Year 10 Card,Hosts year 10,Winners year 10,Winner Card 10,Runners year 10,Tournament year 11,Tournament Year 11 Card,Hosts year 11,Winners year 11,Winner Card 11,Runners  year 11,Tournament year 12,Tournament Year 12 Card,Hosts year 12,Winners  year 12,Winner Card 12,Runners year 12,Man of the series,Link to the player's image,Country,Most runs scored/ Orange cap,Link to player's image ,Country,Most wickets taken/ purple cap,Link to the players image,Country,Champion Card ID,Runner Up Card ID
P2,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1983 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/1983_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1983_Cricket_World_Cup#/media/File:Prudential_Cup_83_logo.svg,1983 क्रिकेट विश्व कप (आधिकारिक रूप से प्रूडेंशियल कप '83) क्रिकेट विश्व कप टूर्नामेंट का तीसरा संस्करण था। यह 9 जून से 25 जून 1983 तक इंग्लैंड और वेल्स में आयोजित किया गया था और इसे भारत ने जीता था।,9 June–25 June,ஒன் டே இன்டர்நேஷனல்,भारत (पहला खिताब),R1,வெஸ்ட் இண்டீஸ்,R3,8,இங்கிலாந்து,G10,வேல்ஸ்,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,1983-இல் மேன் ஆஃப் தி சீரிஸ் விருது வழங்கப்படவில்லை,,,டேவிட் கோவர்,https://en.wikipedia.org/wiki/David_Gower#/media/File:David_Gower.jpg,இங்கிலாந்து,ரோஜர் பின்னி,https://en.wikipedia.org/wiki/Roger_Binny,இந்தியா,R1,R3
P16,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1987 Cricket World Cup,https://ta.wikipedia.org/wiki/1987_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1987_Cricket_World_Cup#/media/File:1987_world_cup_logo.png,The 1987 Cricket World Cup (known as the Reliance Cup 1987 for sponsorship reasons) was the fourth edition of the ICC Cricket World Cup tournament. It was held from 8 October to 8 November 1987 in India and Pakistan.,8 October–8 November,One Day International,Australia (1st title),R2,England,R4,8,India,G3,Pakistan,G5,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,No man of the series awarded in 1987,,,Graham Gooch,https://en.wikipedia.org/wiki/Graham_Gooch#/media/File:Graham_Gooch_01.jpg,England,Craig McDermott,https://en.wikipedia.org/wiki/Craig_McDermott#/media/File:Bruce_Reid_%26_Craig_McDermott_-_At_Victoria_University_Wellington_-_1986_(16311415749).jpg,Australia,R2,R4
P17,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1992 Cricket World Cup,https://ta.wikipedia.org/wiki/1992_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1992_Cricket_World_Cup#/media/File:World_Cup_1992_logo.svg,"The 1992 Cricket World Cup (officially the Benson & Hedges World Cup 1992) was the fifth staging of the Cricket World Cup, organised by the International Cricket Council (ICC). It was held in Australia and New Zealand from 22 February to 25 March 1992 and finished with Pakistan beating England in the final to become the World Cup champions for the first time.",22 February–25 March,One Day International,Pakistan (1st title),R8,England,R4,9, Australia,G4,New Zealand,G8,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,Martin Crowe,https://en.wikipedia.org/wiki/Martin_Crowe#/media/File:Martin_Crowe_2011.jpg,New Zealand,Martin Crowe (456),https://en.wikipedia.org/wiki/Martin_Crowe#/media/File:Martin_Crowe_2011.jpg,New Zealand,Wasim Akram (18),https://en.wikipedia.org/wiki/Wasim_Akram#/media/File:Wasim-akram-gesf-2018-7878.jpg,Pakistan,R8,R4
P18,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2019 Cricket World Cup,https://ta.wikipedia.org/wiki/2019_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/2019_Cricket_World_Cup#/media/File:ICC_Cricket_World_Cup_2019_logo.svg,"The 2019 Cricket World Cup (officially ICC Cricket World Cup 2019) is the 12th edition of the Cricket World Cup, scheduled to be hosted by England and Wales, from 30 May to 14 July 2019.",30 May–14 July,One Day International,,,,,10,England,G10,Wales,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,,,,,,,,,,,
P26,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1975 Cricket World Cup,https://ta.wikipedia.org/wiki/1975_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1975_Cricket_World_Cup#/media/File:Prudential_Cup_75_logo.svg,"The 1975 Cricket World Cup (officially called the Prudential Cup '75) was the first edition of the Cricket World Cup, organised by the International Cricket Conference (ICC) and was the first major limited overs One Day International (ODI) cricket tournament to be held. It was held from 7 to 21 June 1975 in England.",7 June–21 June,One Day International,West Indies (1st title),R3,Australia,R2,8,England,G10,,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,No 'Man of the Series' was awarded in 1975.,,,Glenn Turner (333),,New Zealand,Gary Gilmour (11),,Australia,R3,R2
P27,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1979 Cricket World Cup,https://ta.wikipedia.org/wiki/1979_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1979_Cricket_World_Cup#/media/File:Prudential_Cup_79_logo.svg,"The 1979 Cricket World Cup (officially the Prudential Cup '79) was the second edition of the Cricket World Cup and was won by the West Indies, who had also won the inaugural tournament four years earlier. It was held in England from 9 to 23 June 1979.",9 June–23 June,One Day International,West Indies (2nd title),R3,England,R4,8,England,G10,,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,Viv Richards,https://en.wikipedia.org/wiki/Viv_Richards#/media/File:Sir_Vivian_Richards.jpg,West Indies,Gordon Greenidge (253),,West Indies,Mike Hendrick (10),,England,R3,R4
P19,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2008 Indian Premier League,https://ta.wikipedia.org/wiki/2008_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/Board_of_Control_for_Cricket_in_India#/media/File:Cricket_India_Crest.svg,"The 2008 Indian Premier League season was the inaugural season of the Indian Premier League, established by the BCCI in 2007. The season commenced on 18 April 2008 with the final match held on 1 June 2008. The competition started with a double round robin group stage, in which each of the 8 teams played a home match and an away match against every other team. These matches were followed by two semi-finals and a final.",18 April - 1 June,Twenty20,Rajasthan Royals (1st title),R11,Chennai Super Kings,R5,8,India,G3,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Shaun Marsh,https://en.wikipedia.org/wiki/Shaun_Marsh#/media/File:Shaun_Marsh.jpg,Australia,Shaun Marsh (KXIP) (616),https://en.wikipedia.org/wiki/Shaun_Marsh#/media/File:Shaun_Marsh.jpg,Australia,Sohail Tanvir (RR) (22),,Pakistan,R11,R5
P20,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2009 Indian Premier League,,https://upload.wikimedia.org/wikipedia/commons/5/52/Ipl.svg,"The 2009 Indian Premier League season, abbreviated as IPL 2 or the 2009 IPL, was the second season of the Indian Premier League, established by the Board of Control for Cricket in India (BCCI) in 2007. The tournament was hosted by South Africa and was played between 18 April and 24 May 2009.",18 April – 24 May,Twenty20,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,R6,8,South Africa,G6,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Adam Gilchrist,https://en.wikipedia.org/wiki/Adam_Gilchrist#/media/File:Adam_Gilchrist_of_Australia_(cropped).jpg,Australia,Matthew Hayden,https://en.wikipedia.org/wiki/Matthew_Hayden#/media/File:Matt_Hayden.jpg,Australia,R. P. Singh,,India,R12,R6
P21,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2012 Indian Premier League,https://ta.wikipedia.org/wiki/2012_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/2012_Indian_Premier_League#/media/File:Eden_gardens_ipl_2011.jpg,"The 2012 Indian Premier League season, abbreviated as IPL 5 or the IPL 2012 or the DLF IPL 2012 (owing to title sponsorship reasons), was the fifth season of the Indian Premier League, initiated by the Board of Control for Cricket in India (BCCI). The tournament began on 4 April and ended on 27 May 2012. Kolkata Knight Riders were the winning team.",4 April - 27 May,Twenty20,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,R5,9,India,G3,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Sunil Narine,,West Indies,Chris Gayle,https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:ChrisGayle_Cropped.jpg,West Indies,Morne Morkel,https://en.wikipedia.org/wiki/Morn%C3%A9_Morkel#/media/File:Morne_Morkel.jpg,South Africa,R10,R5
P22,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2013 Indian Premier League,https://ta.wikipedia.org/wiki/2013_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/2013_Indian_Premier_League#/media/File:Sahara_Stadium_Pune_4.jpg,"The 2013 season of the Indian Premier League, abbreviated as IPL 6 or Pepsi IPL 2013, was the sixth season of the IPL, established by the Board of Control for Cricket in India (BCCI) . The tournament was held from 3 April to 26 May 2013. Mumbai Indians won the tournament for the first time.",3 April - 26 May,Twenty20,Mumbai Indians,R7,Chennai Super Kings,R5,9,India,G3,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Shane Watson,https://en.wikipedia.org/wiki/Shane_Watson#/media/File:Shane_Watson_2016_new5.jpg,Australia,Michael Hussey,https://en.wikipedia.org/wiki/Michael_Hussey#/media/File:Mike_Hussey_3.jpg,Australia,Dwayne Bravo,https://en.wikipedia.org/wiki/Dwayne_Bravo#/media/File:Dwayne_Bravo_2010.jpg,West Indies,R7,R5
P23,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2014 Indian Premier League,https://ta.wikipedia.org/wiki/2014_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/Board_of_Control_for_Cricket_in_India#/media/File:Cricket_India_Crest.svg,"The 2014 season of the Indian Premier League, abbreviated as IPL 7 or Pepsi IPL 2014, was the seventh season of the IPL. The tournament featured eight teams, one fewer than in 2013 after the withdrawal of the Pune Warriors India. It was held from 16 April 2014 to 1 June 2014. ",16 April - 1 June,Twenty20,Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,R9,8,India,G3,United Arab Emirates,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Glenn Maxwell ,https://en.wikipedia.org/wiki/Glenn_Maxwell#/media/File:2018.02.03.22.38.28-Glenn_Maxwell-0003_(25557926667)_(cropped).jpg,Australia,Robin Uthappa,https://en.wikipedia.org/wiki/Robin_Uthappa#/media/File:Robin_Uthappa_on_the_Show.jpg,India,Mohit Sharma,,India,R10,R9
P24,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2015 Indian Premier League,https://ta.wikipedia.org/wiki/2015_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/2015_Indian_Premier_League#/media/File:Eden_gardens_ipl_2011.jpg,"The 2015 season of the Indian Premier League, abbreviated as IPL 8 or Pepsi IPL 2015, was the eighth season of the IPL, a Twenty20 cricket league. The tournament featured eight teams and was held from 8 April 2015 to 24 May 2015.",8 April - 24 May,Twenty20,Mumbai Indians (2nd title),R7,Chennai Super Kings,R5,8,India,G3,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Andre Russell ,,West Indies,David Warner,https://en.wikipedia.org/wiki/David_Warner_(cricketer)#/media/File:DAVID_WARNER_(11704782453).jpg,Australia,Dwayne Bravo ,https://en.wikipedia.org/wiki/Dwayne_Bravo#/media/File:Dwayne_Bravo_2010.jpg, West Indies,R7,R5
P25,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2018 Indian Premier League,https://ta.wikipedia.org/wiki/2018_%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%A9%E0%AF%8D_%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AF%80%E0%AE%AE%E0%AE%BF%E0%AE%AF%E0%AE%B0%E0%AF%8D_%E0%AE%B2%E0%AF%80%E0%AE%95%E0%AF%8D,https://en.wikipedia.org/wiki/Indian_Premier_League#/media/File:Indian_Premier_League_Logo.png,"The 2018 season of the Indian Premier League, also known as IPL 11, was the eleventh season of the IPL, a professional Twenty20 cricket league. The season, which was held from 7 April to 27 May, saw the return of the Chennai Super Kings and the Rajasthan Royals after serving two years of suspension.",7 April - 27 May,Twenty20,Chennai Super Kings,R5,Sunrisers Hyderabad,R12,8,India,G3,,,,,2008,P19,New Delhi,Rajasthan Royals (1st title),R11,Chennai Super Kings,2009,P20,South Africa,Deccan Chargers (1st title),R12,Royal Challengers Bangalore,2010,P12,India,Chennai Super Kings (1st title),R5,Mumbai Indians,2011,P13,India,Chennai Super Kings (2nd title),R5,Royal Challengers Bangalore,2012,P21,India,Kolkata Knight Riders (1st title),R10,Chennai Super Kings,2013,P22,India,Mumbai Indians (1st title),R7,Chennai Super Kings,2014,P23,"India, UAE",Kolkata Knight Riders (2nd title),R10,Kings XI Punjab,2015,P24,India,Mumbai Indians (2nd title),R7,Chennai Super Kings,2016,P14,India,Sunrisers Hyderabad (1st title),R12,Royal Challengers Bangalore,2017,P15,India,Mumbai Indians (3rd title),R7,Rising Pune Supergiant,2018,P25,India,Chennai Super Kings (3rd title),R5,Sunrisers Hyderabad,,,,,,,Sunil Narine,,West Indies,Kane Williamson,https://en.wikipedia.org/wiki/Kane_Williamson#/media/File:Kane_Williamson_(9773667991).jpg,New Zealand,Andrew Tye,"https://en.wikipedia.org/wiki/Andrew_Tye#/media/File:2018.02.03.20.38.56-AUSvNZL_T20_NZL_innings,_SCG-0001_(38618205890)_(Tye_cropped).jpg",Australia,R5,R12
